"Index","Open","High","Low","Close","Volume","Open Interest"
1990-02-20,106.8,109.3,106.8,107.3,147,NA
1990-02-21,105.7,108.2,105.3,108.2,164,NA
1990-02-22,109.1,109.3,107,108,223,NA
1990-02-23,107.3,107.9,106.4,107.5,255,NA
1990-02-26,106.1,107.6,106.1,107.05,192,NA
1990-02-27,106.9,107.4,105.8,106.75,420,NA
1990-02-28,106.85,108.6,106.75,108.25,NA,NA
1990-03-01,109.2,109.9,108.6,109.2,476,NA
1990-03-02,111.5,114.1,111.2,113.7,426,NA
1990-03-05,114.3,117.1,113.9,116.8,275,NA
1990-03-06,116.7,117.4,114.25,115.35,229,NA
1990-03-07,115.2,116.5,114.5,114.65,212,NA
1990-03-08,115.1,116.1,115,115.9,672,NA
1990-03-09,117.8,117.95,115,115.5,329,NA
1990-03-12,114,115.8,113.3,114.95,397,NA
1990-03-13,114.5,115.6,112.2,112.7,674,NA
1990-03-14,113.5,118.75,113.1,117.4,510,NA
1990-03-15,119.5,119.9,117.9,119.55,452,NA
1990-03-16,120.4,120.6,118.5,119.75,427,NA
1990-03-19,120.25,120.9,118.1,119.1,399,NA
1990-03-20,118.4,119,116.7,117.3,650,NA
1990-03-21,117.6,122.4,117.6,121.2,363,NA
1990-03-22,120.4,120.4,117.5,118.1,520,NA
1990-03-23,116.6,118.3,116.2,117.9,517,NA
1990-03-26,115.7,116.4,113.5,114.7,705,NA
1990-03-27,116.3,116.4,112,112.25,756,NA
1990-03-28,112.7,117.4,111.7,116.5,435,NA
1990-03-29,119,119.3,117.1,117.9,855,NA
1990-03-30,120.7,122.7,119.5,122.4,NA,NA
1990-04-02,123.1,123.4,120.5,120.9,520,NA
1990-04-03,121.8,125,121.5,124.85,556,NA
1990-04-04,123.6,123.8,119.6,120.15,457,NA
1990-04-05,120.9,121.9,118.25,118.9,653,NA
1990-04-06,119.5,123.1,118.5,121.1,654,NA
1990-04-09,120.2,120.2,116.5,116.7,616,NA
1990-04-10,118,119.5,116.75,119.35,418,NA
1990-04-11,118,120.2,117.2,118.1,579,NA
1990-04-12,118.8,120,116.2,116.85,279,NA
1990-04-13,NA,NA,NA,NA,NA,NA
1990-04-16,116.1,117.6,115.5,116.5,603,NA
1990-04-17,116.4,117.1,114.5,116.25,485,NA
1990-04-18,116.7,117.4,114.8,116.2,353,NA
1990-04-19,115.2,116.9,114.9,116.6,509,NA
1990-04-20,108.4,108.8,106.2,106.5,909,NA
1990-04-23,107.4,108.15,105.4,105.7,510,NA
1990-04-24,106.2,109,105.6,108.5,437,NA
1990-04-25,110.1,111.9,109.6,111.1,288,NA
1990-04-26,110.5,112.85,110,112.1,112,NA
1990-04-27,111,111.6,109.3,111.6,228,NA
1990-04-30,109,109.5,107.2,108.9,NA,NA
1990-05-01,110.6,114.5,110.4,113.3,325,NA
1990-05-02,112,112.9,110.9,112.15,473,NA
1990-05-03,114,114.4,111.4,111.6,342,NA
1990-05-04,112,112,109.8,111.25,304,NA
1990-05-07,110.2,111.8,109.5,109.65,308,NA
1990-05-08,110.3,112.4,110.1,112.15,809,NA
1990-05-09,113.65,118,113.55,117.5,663,NA
1990-05-10,117.5,119.25,117.1,118.4,448,NA
1990-05-11,117.5,118.9,117.1,117.65,406,NA
1990-05-14,116.7,117.75,114,115,407,NA
1990-05-15,114.6,115.1,112.65,114.1,353,NA
1990-05-16,113.5,115,113.1,114.4,355,NA
1990-05-17,115.4,116.4,113.9,114.9,NA,NA
1990-05-18,114,115.1,113,114.85,390,NA
1990-05-21,113.2,113.75,112.2,113.45,433,NA
1990-05-22,114.2,116.85,113.9,116.15,562,NA
1990-05-23,115.6,116.3,114.1,115.05,266,NA
1990-05-24,116,116.9,115.55,116.55,327,NA
1990-05-25,115.7,115.7,114.1,115.25,514,NA
1990-05-28,NA,NA,NA,NA,NA,NA
1990-05-29,115.25,115.8,112.3,112.5,829,NA
1990-05-30,111.2,112.8,111,111.5,606,NA
1990-05-31,112.7,113,109.9,110.85,NA,NA
1990-06-01,110.5,112.5,110.3,111.8,572,NA
1990-06-04,112.3,113,111,111.15,463,NA
1990-06-05,110.5,113.8,110.2,113.1,271,NA
1990-06-06,112.4,112.9,111.5,112.1,297,NA
1990-06-07,111.3,113,110.9,112.15,351,NA
1990-06-08,112.7,113.5,111.45,111.75,685,NA
1990-06-11,111.9,112.5,109.4,109.65,543,NA
1990-06-12,110.6,111.15,109.2,110.6,543,NA
1990-06-13,109.1,109.7,108.9,109.6,521,NA
1990-06-14,110,111.3,108.9,110.8,413,NA
1990-06-15,111.4,112.5,110.6,111.8,838,NA
1990-06-18,111.6,115.4,111.5,113.9,299,NA
1990-06-19,114.2,115.3,112.8,113,468,NA
1990-06-20,109,109.2,107.1,107.4,121,NA
1990-06-21,107.8,108.7,107.3,108.6,158,NA
1990-06-22,109.2,109.7,108.7,109.1,203,NA
1990-06-25,108.65,109,107.1,107.4,766,NA
1990-06-26,105.5,106.9,105.25,106.85,144,NA
1990-06-27,107.6,108.1,107.2,108,929,NA
1990-06-28,108.7,113.5,108.6,113.3,925,NA
1990-06-29,114,116,113.6,114,NA,NA
1990-07-02,114,114.75,112.8,112.9,285,NA
1990-07-03,114,114.8,112.9,113.1,457,NA
1990-07-04,NA,NA,NA,NA,NA,NA
1990-07-05,114.1,116.95,114,116.05,561,NA
1990-07-06,116.5,118.85,116.4,118.2,327,NA
1990-07-09,118.7,119.1,116.8,117.35,309,NA
1990-07-10,118.6,118.7,116.2,116.75,534,NA
1990-07-11,119.8,122.4,119.6,122,494,NA
1990-07-12,122,124.5,121.15,124.05,315,NA
1990-07-13,123.3,123.9,122.55,122.95,204,NA
1990-07-16,121.4,122.2,120.6,122,321,NA
1990-07-17,121.6,121.9,119.25,120,230,NA
1990-07-18,120.3,120.8,119.2,119.3,395,NA
1990-07-19,118.6,119.1,117.5,117.9,304,NA
1990-07-20,117.7,120.6,117.3,119.8,254,NA
1990-07-23,120.8,121.3,117.9,119.1,260,NA
1990-07-24,119.3,120.8,118.6,120.4,266,NA
1990-07-25,120.4,122.5,119.65,121.65,506,NA
1990-07-26,122.8,123.9,122.3,122.8,687,NA
1990-07-27,125.7,126.6,124.7,125.9,334,NA
1990-07-30,125.9,125.9,123.1,123.55,314,NA
