,Open.Price,High.Price,Low.Price,Close.Price,Volume
1986-04-01,1466.8,1466.8,1466.8,1466.8,
1986-04-02,1453.3,1453.3,1453.3,1453.3,
1986-04-03,1435.0,1435.0,1435.0,1435.0,
1986-04-04,1432.0,1432.0,1432.0,1432.0,
1986-04-07,1438.5,1438.5,1438.5,1438.5,
1986-04-08,1450.8,1450.8,1450.8,1450.8,
1986-04-09,1441.7,1441.7,1441.7,1441.7,
1986-04-10,1445.4,1445.4,1445.4,1445.4,
1986-04-11,1454.2,1454.2,1454.2,1454.2,
1986-04-14,1454.5,1454.5,1454.5,1454.5,
1986-04-15,1447.1,1447.1,1447.1,1447.1,
1986-04-16,1461.1,1461.1,1461.1,1461.1,
1986-04-17,1461.2,1461.2,1461.2,1461.2,
1986-04-18,1455.9,1455.9,1455.9,1455.9,
1986-04-21,1449.8,1449.8,1449.8,1449.8,
1986-04-22,1438.9,1438.9,1438.9,1438.9,
1986-04-23,1460.8,1460.8,1460.8,1460.8,
1986-04-24,1449.7,1449.7,1449.7,1449.7,
1986-04-25,1429.7,1429.7,1429.7,1429.7,
1986-04-28,1445.1,1445.1,1445.1,1445.1,
1986-04-29,1429.8,1429.8,1429.8,1429.8,
1986-04-30,1434.3,1434.3,1434.3,1434.3,
1986-05-01,1430.4,1430.4,1430.4,1430.4,
1986-05-02,1422.1,1422.1,1422.1,1422.1,
1986-05-06,1432.4,1432.4,1432.4,1432.4,
1986-05-07,1426.8,1426.8,1426.8,1426.8,
1986-05-08,1430.0,1430.0,1430.0,1430.0,
1986-05-09,1430.8,1430.8,1430.8,1430.8,
1986-05-12,1434.9,1434.9,1434.9,1434.9,
1986-05-13,1436.8,1436.8,1436.8,1436.8,
1986-05-14,1431.6,1431.6,1431.6,1431.6,
1986-05-15,1427.1,1427.1,1427.1,1427.1,
1986-05-16,1430.4,1430.4,1430.4,1430.4,
1986-05-19,1429.5,1429.5,1429.5,1429.5,
1986-05-20,1408.6,1408.6,1408.6,1408.6,
1986-05-21,1406.5,1406.5,1406.5,1406.5,
1986-05-22,1406.1,1406.1,1406.1,1406.1,
1986-05-23,1398.6,1398.6,1398.6,1398.6,
1986-05-27,1401.0,1401.0,1401.0,1401.0,
1986-05-28,1403.4,1403.4,1403.4,1403.4,
1986-05-29,1402.0,1402.0,1402.0,1402.0,
1986-05-30,1406.6,1406.6,1406.6,1406.6,
1986-06-02,1414.6,1414.6,1414.6,1414.6,
1986-06-03,1410.3,1410.3,1410.3,1410.3,
1986-06-04,1398.2,1398.2,1398.2,1398.2,
1986-06-05,1409.9,1409.9,1409.9,1409.9,
1986-06-06,1433.4,1433.4,1433.4,1433.4,
1986-06-09,1427.8,1427.8,1427.8,1427.8,
1986-06-10,1451.5,1451.5,1451.5,1451.5,
1986-06-11,1437.3,1437.3,1437.3,1437.3,
1986-06-12,1448.9,1448.9,1448.9,1448.9,
1986-06-13,1437.3,1437.3,1437.3,1437.3,
1986-06-16,1428.2,1428.2,1428.2,1428.2,
1986-06-17,1417.4,1417.4,1417.4,1417.4,
1986-06-18,1418.0,1418.0,1418.0,1418.0,
1986-06-19,1421.5,1421.5,1421.5,1421.5,
1986-06-20,1413.9,1413.9,1413.9,1413.9,
1986-06-23,1405.5,1405.5,1405.5,1405.5,
1986-06-24,1417.0,1417.0,1417.0,1417.0,
1986-06-25,1399.7,1399.7,1399.7,1399.7,
1986-06-26,1393.8,1393.8,1393.8,1393.8,
1986-06-27,1387.5,1387.5,1387.5,1387.5,
1986-06-30,1381.9,1381.9,1381.9,1381.9,
1986-07-01,1388.3,1388.3,1388.3,1388.3,
1986-07-02,1384.9,1384.9,1384.9,1384.9,
1986-07-03,1396.7,1396.7,1396.7,1396.7,
1986-07-04,1397.5,1397.5,1397.5,1397.5,
1986-07-07,1391.1,1391.1,1391.1,1391.1,
1986-07-08,1387.4,1387.4,1387.4,1387.4,
1986-07-09,1340.9,1340.9,1340.9,1340.9,
1986-07-10,1337.8,1337.8,1337.8,1337.8,
1986-07-11,1341.0,1341.0,1341.0,1341.0,
1986-07-14,1325.5,1325.5,1325.5,1325.5,
1986-07-15,1349.0,1349.0,1349.0,1349.0,
1986-07-16,1351.9,1351.9,1351.9,1351.9,
1986-07-17,1348.9,1348.9,1348.9,1348.9,
1986-07-18,1320.4,1320.4,1320.4,1320.4,
1986-07-21,1349.3,1349.3,1349.3,1349.3,
1986-07-22,1346.6,1346.6,1346.6,1346.6,
1986-07-23,1339.9,1339.9,1339.9,1339.9,
1986-07-24,1353.1,1353.1,1353.1,1353.1,
1986-07-25,1347.9,1347.9,1347.9,1347.9,
1986-07-28,1335.2,1335.2,1335.2,1335.2,
1986-07-29,1350.0,1350.0,1350.0,1350.0,
1986-07-30,1350.5,1350.5,1350.5,1350.5,
1986-07-31,1323.4,1323.4,1323.4,1323.4,
1986-08-01,1325.2,1325.2,1325.2,1325.2,
1986-08-04,1310.0,1310.0,1310.0,1310.0,
1986-08-05,1309.1,1309.1,1309.1,1309.1,
1986-08-06,1318.6,1318.6,1318.6,1318.6,
1986-08-07,1316.4,1316.4,1316.4,1316.4,
1986-08-08,1317.4,1317.4,1317.4,1317.4,
1986-08-11,1341.9,1341.9,1341.9,1341.9,
1986-08-12,1327.1,1327.1,1327.1,1327.1,
1986-08-13,1326.1,1326.1,1326.1,1326.1,
1986-08-14,1328.5,1328.5,1328.5,1328.5,
1986-08-15,1327.3,1327.3,1327.3,1327.3,
1986-08-18,1307.6,1307.6,1307.6,1307.6,
1986-08-19,1315.6,1315.6,1315.6,1315.6,
1986-08-20,1313.2,1313.2,1313.2,1313.2,
1986-08-21,1317.9,1317.9,1317.9,1317.9,
1986-08-22,1309.4,1309.4,1309.4,1309.4,
1986-08-26,1301.7,1301.7,1301.7,1301.7,
1986-08-27,1307.1,1307.1,1307.1,1307.1,
1986-08-28,1310.3,1310.3,1310.3,1310.3,
1986-08-29,1314.8,1314.8,1314.8,1314.8,
1986-09-02,1322.7,1322.7,1322.7,1322.7,
1986-09-03,1352.2,1352.2,1352.2,1352.2,
1986-09-04,1369.4,1369.4,1369.4,1369.4,
1986-09-05,1368.9,1368.9,1368.9,1368.9,
1986-09-08,1361.7,1361.7,1361.7,1361.7,
1986-09-09,1363.4,1363.4,1363.4,1363.4,
1986-09-10,1363.4,1363.4,1363.4,1363.4,
1986-09-11,1363.6,1363.6,1363.6,1363.6,
1986-09-12,1369.9,1369.9,1369.9,1369.9,
1986-09-15,1362.8,1362.8,1362.8,1362.8,
1986-09-16,1362.7,1362.7,1362.7,1362.7,
1986-09-17,1380.0,1380.0,1380.0,1380.0,
1986-09-18,1371.5,1371.5,1371.5,1371.5,
1986-09-19,1387.1,1387.1,1387.1,1387.1,
1986-09-22,1387.8,1387.8,1387.8,1387.8,
1986-09-23,1367.5,1367.5,1367.5,1367.5,
1986-09-24,1355.4,1355.4,1355.4,1355.4,
1986-09-25,1355.6,1355.6,1355.6,1355.6,
1986-09-26,1363.1,1363.1,1363.1,1363.1,
1986-09-29,1361.5,1361.5,1361.5,1361.5,
1986-09-30,1370.5,1370.5,1370.5,1370.5,
1986-10-01,1357.6,1357.6,1357.6,1357.6,
1986-10-02,1337.5,1337.5,1337.5,1337.5,
1986-10-03,1349.1,1349.1,1349.1,1349.1,
1986-10-06,1342.8,1342.8,1342.8,1342.8,
1986-10-07,1346.2,1346.2,1346.2,1346.2,
1986-10-08,1346.1,1346.1,1346.1,1346.1,
1986-10-09,1320.0,1320.0,1320.0,1320.0,
1986-10-10,1327.9,1327.9,1327.9,1327.9,
1986-10-13,1332.2,1332.2,1332.2,1332.2,
1986-10-14,1334.7,1334.7,1334.7,1334.7,
